nume_actiune, timestamp
adaugaTranzactie,01:08:27:872 PM 07-May-2019
adaugaTranzactie,01:08:28:044 PM 07-May-2019
adaugaTranzactie,01:08:28:044 PM 07-May-2019
adaugareAutobuz,01:08:28:075 PM 07-May-2019
adaugareAutobuz,01:08:28:075 PM 07-May-2019
adaugareAutobuz,01:08:28:075 PM 07-May-2019
adaugareMicrobuz,01:08:28:075 PM 07-May-2019
adaugareMicrobuz,01:08:28:075 PM 07-May-2019
adaugareMicrobuz,01:08:28:075 PM 07-May-2019
adaugareMicrobuz,01:08:28:090 PM 07-May-2019
anuleazaAutobuz,01:08:28:090 PM 07-May-2019
adaugareLegatura,01:08:28:090 PM 07-May-2019
adaugareLegatura,01:08:28:090 PM 07-May-2019
numarMaximKm,01:08:28:090 PM 07-May-2019
numarMaximAuto,01:08:28:090 PM 07-May-2019
numeSoferi,01:08:28:090 PM 07-May-2019
legPlecareBucuresti,01:08:28:090 PM 07-May-2019
